,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,country_code,data_source,data_type,fetch_timestamp
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,,,
2025-08-10 00:00:00+02:00,480.0,0.0,0.0,6564.0,0.0,24.0,0.0,0.0,0.0,2188.0,0.0,472.0,2596.0,0.0,6868.0,12.0,60.0,664.0,212.0,0.0,7732.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 00:15:00+02:00,480.0,0.0,0.0,6680.0,0.0,24.0,0.0,0.0,0.0,2104.0,0.0,468.0,2500.0,0.0,6868.0,12.0,60.0,652.0,216.0,0.0,7728.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 00:30:00+02:00,480.0,0.0,0.0,6320.0,0.0,28.0,0.0,0.0,0.0,2024.0,0.0,472.0,2176.0,0.0,6868.0,12.0,60.0,644.0,216.0,0.0,7648.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 00:45:00+02:00,480.0,0.0,0.0,5800.0,0.0,28.0,0.0,0.0,0.0,1956.0,0.0,472.0,2104.0,0.0,6872.0,12.0,64.0,628.0,212.0,0.0,7580.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 01:00:00+02:00,480.0,0.0,0.0,5440.0,0.0,24.0,0.0,0.0,0.0,1824.0,0.0,476.0,2040.0,0.0,6872.0,12.0,64.0,632.0,212.0,0.0,7520.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 01:15:00+02:00,480.0,0.0,0.0,5476.0,0.0,24.0,0.0,0.0,0.0,1804.0,0.0,464.0,1936.0,0.0,6872.0,12.0,64.0,632.0,212.0,0.0,7412.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 01:30:00+02:00,480.0,0.0,0.0,5432.0,0.0,24.0,0.0,0.0,0.0,1648.0,0.0,464.0,1764.0,0.0,6872.0,8.0,64.0,632.0,216.0,0.0,7336.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 01:45:00+02:00,480.0,0.0,0.0,5260.0,0.0,24.0,0.0,0.0,0.0,1580.0,0.0,460.0,1808.0,0.0,6872.0,8.0,64.0,624.0,212.0,0.0,7244.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 02:00:00+02:00,476.0,0.0,0.0,4984.0,0.0,24.0,0.0,0.0,0.0,1432.0,0.0,456.0,1804.0,0.0,6872.0,4.0,64.0,620.0,212.0,0.0,7196.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 02:15:00+02:00,480.0,0.0,0.0,5184.0,0.0,24.0,0.0,0.0,0.0,1232.0,4.0,452.0,1588.0,0.0,6872.0,4.0,64.0,620.0,208.0,0.0,7108.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
2025-08-10 02:30:00+02:00,480.0,0.0,0.0,5108.0,0.0,24.0,0.0,0.0,0.0,1192.0,152.0,448.0,1572.0,0.0,6872.0,4.0,64.0,620.0,208.0,0.0,6900.0,ES,ENTSO-E,generation,2025-08-22 11:17:24.984408
