,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore,country_code,data_source,data_type,fetch_timestamp
,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,,,
2025-08-09 23:00:00+01:00,360.0,957.0,5.0,0.0,0.0,582.0,30.0,648.0,1.0,74.0,1.0,31.0,0.0,0.0,630.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 00:00:00+01:00,358.0,951.0,4.0,0.0,0.0,368.0,3.0,640.0,1.0,7.0,1.0,31.0,0.0,0.0,500.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 01:00:00+01:00,354.0,947.0,4.0,0.0,0.0,34.0,34.0,649.0,1.0,8.0,1.0,30.0,0.0,0.0,435.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 02:00:00+01:00,351.0,956.0,4.0,0.0,0.0,0.0,4.0,609.0,1.0,7.0,1.0,30.0,0.0,0.0,407.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 03:00:00+01:00,350.0,925.0,4.0,0.0,0.0,50.0,3.0,678.0,1.0,5.0,1.0,31.0,0.0,0.0,399.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 04:00:00+01:00,349.0,968.0,4.0,0.0,0.0,30.0,3.0,623.0,1.0,5.0,1.0,30.0,0.0,0.0,438.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 05:00:00+01:00,351.0,988.0,5.0,0.0,0.0,34.0,4.0,695.0,1.0,5.0,1.0,30.0,0.0,2.0,509.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 06:00:00+01:00,354.0,958.0,4.0,0.0,0.0,280.0,18.0,679.0,2.0,5.0,1.0,30.0,4.0,10.0,676.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 07:00:00+01:00,361.0,949.0,4.0,0.0,0.0,19.0,958.0,369.0,2.0,5.0,1.0,31.0,219.0,10.0,735.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 08:00:00+01:00,360.0,1043.0,5.0,0.0,0.0,0.0,1684.0,112.0,2.0,14.0,1.0,30.0,806.0,11.0,702.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 09:00:00+01:00,357.0,988.0,5.0,0.0,0.0,0.0,1980.0,15.0,2.0,15.0,1.0,29.0,1392.0,10.0,657.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 10:00:00+01:00,359.0,1035.0,4.0,0.0,0.0,0.0,2062.0,15.0,2.0,15.0,1.0,29.0,1813.0,7.0,626.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 11:00:00+01:00,354.0,1034.0,4.0,0.0,0.0,0.0,2191.0,15.0,2.0,13.0,1.0,29.0,2214.0,5.0,696.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 12:00:00+01:00,350.0,1044.0,4.0,0.0,0.0,0.0,2192.0,10.0,2.0,5.0,1.0,30.0,2301.0,2.0,825.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 13:00:00+01:00,341.0,967.0,4.0,0.0,0.0,0.0,2441.0,40.0,2.0,5.0,1.0,29.0,2446.0,0.0,870.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 14:00:00+01:00,340.0,986.0,4.0,0.0,0.0,0.0,2375.0,64.0,2.0,5.0,1.0,29.0,2427.0,0.0,856.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 15:00:00+01:00,334.0,955.0,4.0,0.0,0.0,0.0,2224.0,86.0,2.0,5.0,1.0,29.0,2276.0,0.0,944.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 16:00:00+01:00,331.0,966.0,4.0,0.0,0.0,0.0,1797.0,59.0,2.0,5.0,1.0,30.0,2258.0,0.0,1053.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 17:00:00+01:00,334.0,1116.0,4.0,0.0,0.0,38.0,1474.0,66.0,2.0,16.0,1.0,30.0,2004.0,0.0,1002.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 18:00:00+01:00,311.0,948.0,4.0,0.0,0.0,461.0,288.0,207.0,2.0,51.0,1.0,29.0,1171.0,0.0,828.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 19:00:00+01:00,299.0,1000.0,4.0,0.0,0.0,1811.0,1.0,468.0,1.0,130.0,1.0,29.0,368.0,0.0,613.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 20:00:00+01:00,299.0,1050.0,4.0,0.0,0.0,2546.0,1.0,1290.0,1.0,283.0,1.0,30.0,25.0,0.0,572.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 21:00:00+01:00,297.0,1056.0,4.0,0.0,0.0,2248.0,1.0,1293.0,1.0,412.0,1.0,29.0,2.0,1.0,616.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 22:00:00+01:00,300.0,967.0,5.0,0.0,0.0,1837.0,1.0,893.0,1.0,374.0,1.0,30.0,0.0,2.0,726.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-10 23:00:00+01:00,293.0,982.0,4.0,0.0,0.0,1397.0,2.0,987.0,1.0,83.0,1.0,30.0,0.0,0.0,806.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-11 00:00:00+01:00,339.0,1056.0,4.0,0.0,0.0,973.0,3.0,858.0,1.0,69.0,1.0,30.0,0.0,0.0,721.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
2025-08-11 01:00:00+01:00,344.0,951.0,4.0,0.0,0.0,901.0,2.0,759.0,1.0,69.0,1.0,30.0,0.0,0.0,512.0,PT,ENTSO-E,generation,2025-08-22 11:17:20.436537
