,price_eur_mwh,country_code,data_source,data_type,fetch_timestamp
2025-08-10 00:00:00+02:00,104.72,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 01:00:00+02:00,85.44,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 02:00:00+02:00,79.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 03:00:00+02:00,68.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 04:00:00+02:00,85.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 05:00:00+02:00,90.5,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 06:00:00+02:00,96.44,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 07:00:00+02:00,90.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 08:00:00+02:00,49.9,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 09:00:00+02:00,0.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 10:00:00+02:00,-0.44,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 11:00:00+02:00,-0.99,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 12:00:00+02:00,-1.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 13:00:00+02:00,-0.62,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 14:00:00+02:00,-0.6,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 15:00:00+02:00,-0.6,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 16:00:00+02:00,-0.5,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 17:00:00+02:00,1.72,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 18:00:00+02:00,26.5,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 19:00:00+02:00,80.5,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 20:00:00+02:00,98.01,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 21:00:00+02:00,130.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 22:00:00+02:00,136.87,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-10 23:00:00+02:00,112.98,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 00:00:00+02:00,109.7,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 01:00:00+02:00,100.43,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 02:00:00+02:00,100.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 03:00:00+02:00,99.89,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 04:00:00+02:00,99.18,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 05:00:00+02:00,99.89,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 06:00:00+02:00,99.65,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 07:00:00+02:00,105.43,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 08:00:00+02:00,100.61,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 09:00:00+02:00,63.6,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 10:00:00+02:00,45.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 11:00:00+02:00,22.51,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 12:00:00+02:00,15.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 13:00:00+02:00,15.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 14:00:00+02:00,10.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 15:00:00+02:00,9.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 16:00:00+02:00,44.5,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 17:00:00+02:00,57.97,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 18:00:00+02:00,90.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 19:00:00+02:00,111.24,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 20:00:00+02:00,135.09,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 21:00:00+02:00,144.41,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 22:00:00+02:00,133.51,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-11 23:00:00+02:00,110.91,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 00:00:00+02:00,109.13,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 01:00:00+02:00,99.94,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 02:00:00+02:00,104.72,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 03:00:00+02:00,104.38,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 04:00:00+02:00,103.0,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 05:00:00+02:00,104.38,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 06:00:00+02:00,99.18,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 07:00:00+02:00,109.7,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 08:00:00+02:00,98.69,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 09:00:00+02:00,96.13,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 10:00:00+02:00,66.34,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 11:00:00+02:00,40.94,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
2025-08-12 12:00:00+02:00,27.2,ES,ENTSO-E,day_ahead_prices,2025-08-22 11:17:21.077800
