datetime_utc,price_es_omie,price_pt_omie,date,hour_local,data_source
2025-08-08 22:00:00+00:00,104.72,104.72,2025-08-09,0,OMIE
2025-08-08 23:00:00+00:00,85.44,85.44,2025-08-09,1,OMIE
2025-08-09 00:00:00+00:00,79.0,79.0,2025-08-09,2,OMIE
2025-08-09 01:00:00+00:00,68.0,68.0,2025-08-09,3,OMIE
2025-08-09 02:00:00+00:00,85.0,85.0,2025-08-09,4,OMIE
2025-08-09 03:00:00+00:00,90.5,90.5,2025-08-09,5,OMIE
2025-08-09 04:00:00+00:00,96.44,96.44,2025-08-09,6,OMIE
2025-08-09 05:00:00+00:00,90.0,90.0,2025-08-09,7,OMIE
2025-08-09 06:00:00+00:00,49.9,49.9,2025-08-09,8,OMIE
2025-08-09 07:00:00+00:00,0.0,0.0,2025-08-09,9,OMIE
2025-08-09 08:00:00+00:00,-0.44,-0.25,2025-08-09,10,OMIE
2025-08-09 09:00:00+00:00,-0.99,-0.25,2025-08-09,11,OMIE
2025-08-09 10:00:00+00:00,-1.0,-0.5,2025-08-09,12,OMIE
2025-08-09 11:00:00+00:00,-0.62,-0.62,2025-08-09,13,OMIE
2025-08-09 12:00:00+00:00,-0.6,-0.6,2025-08-09,14,OMIE
2025-08-09 13:00:00+00:00,-0.6,-0.6,2025-08-09,15,OMIE
2025-08-09 14:00:00+00:00,-0.5,-0.5,2025-08-09,16,OMIE
2025-08-09 15:00:00+00:00,1.72,1.72,2025-08-09,17,OMIE
2025-08-09 16:00:00+00:00,26.5,26.5,2025-08-09,18,OMIE
2025-08-09 17:00:00+00:00,80.5,80.5,2025-08-09,19,OMIE
2025-08-09 18:00:00+00:00,98.01,98.01,2025-08-09,20,OMIE
2025-08-09 19:00:00+00:00,130.0,130.0,2025-08-09,21,OMIE
2025-08-09 20:00:00+00:00,136.87,136.87,2025-08-09,22,OMIE
2025-08-09 21:00:00+00:00,112.98,112.98,2025-08-09,23,OMIE
2025-08-09 22:00:00+00:00,109.7,109.7,2025-08-10,0,OMIE
2025-08-09 23:00:00+00:00,100.43,100.43,2025-08-10,1,OMIE
2025-08-10 00:00:00+00:00,100.0,100.0,2025-08-10,2,OMIE
2025-08-10 01:00:00+00:00,99.89,99.89,2025-08-10,3,OMIE
2025-08-10 02:00:00+00:00,99.18,99.18,2025-08-10,4,OMIE
2025-08-10 03:00:00+00:00,99.89,99.89,2025-08-10,5,OMIE
2025-08-10 04:00:00+00:00,99.65,99.65,2025-08-10,6,OMIE
2025-08-10 05:00:00+00:00,105.43,105.43,2025-08-10,7,OMIE
2025-08-10 06:00:00+00:00,100.61,100.61,2025-08-10,8,OMIE
2025-08-10 07:00:00+00:00,63.6,63.6,2025-08-10,9,OMIE
2025-08-10 08:00:00+00:00,45.0,45.0,2025-08-10,10,OMIE
2025-08-10 09:00:00+00:00,22.51,22.51,2025-08-10,11,OMIE
2025-08-10 10:00:00+00:00,15.0,15.0,2025-08-10,12,OMIE
2025-08-10 11:00:00+00:00,15.0,15.0,2025-08-10,13,OMIE
2025-08-10 12:00:00+00:00,10.0,10.0,2025-08-10,14,OMIE
